invoice_no,customer_id,gender,age,category,revenue,payment_method,invoice_date,shopping_mall
I192911,C642829,Female,66,Food & Beverage,89.02,Credit Card,2021-01-01,Metrocity
I235671,C196703,Female,45,Clothing,1789.32,Cash,2021-01-01,Metrocity
I371949,C260427,Male,50,Toys,413.73,Credit Card,2021-01-01,Metrocity
I246142,C209273,Female,59,Souvenir,129.19,Cash,2021-01-01,Viaport Outlet
I312847,C535517,Male,60,Souvenir,67.45,Credit Card,2021-01-01,Cevahir AVM
I198722,C342595,Female,58,Souvenir,240.53,Credit Card,2021-01-01,Zorlu Center
I113208,C905558,Female,56,Technology,2154.74,Cash,2021-01-01,Forum Istanbul
I804151,C338973,Female,62,Food & Beverage,116.91,Credit Card,2021-01-01,Metrocity
I310590,C612294,Female,18,Clothing,2093.2,Cash,2021-01-01,Mall of Istanbul
I298375,C210302,Female,24,Food & Beverage,63.3,Credit Card,2021-01-01,Kanyon
I202841,C287964,Female,47,Books,348.51,Credit Card,2021-01-01,Metrocity
I100473,C607315,Female,51,Books,278.44,Debit Card,2021-01-01,Mall of Istanbul
I262633,C619431,Male,30,Food & Beverage,88.95,Debit Card,2021-01-01,Viaport Outlet
I172357,C416594,Female,32,Cosmetics,915.3,Cash,2021-01-01,Kanyon
I239504,C168045,Male,47,Cosmetics,757.93,Cash,2021-01-01,Istinye Park
I220341,C270560,Female,44,Shoes,2981.52,Cash,2021-01-01,Metrocity
I181714,C300434,Male,22,Books,277.84,Cash,2021-01-01,Mall of Istanbul
I841258,C813957,Female,30,Food & Beverage,69.68,Cash,2021-01-01,Cevahir AVM
I323282,C134774,Female,33,Shoes,1423.63,Cash,2021-01-01,Metrocity
I234686,C866358,Female,29,Cosmetics,374.12,Debit Card,2021-01-01,Kanyon
I224521,C102966,Female,28,Toys,450.68,Credit Card,2021-01-01,Metropol AVM
I427957,C624861,Female,23,Shoes,1987.36,Credit Card,2021-01-01,Istinye Park
I143660,C112914,Male,18,Food & Beverage,71.11,Cash,2021-01-01,Kanyon
I162254,C124578,Male,62,Food & Beverage,112.8,Credit Card,2021-01-01,Emaar Square Mall
I218047,C182724,Female,67,Cosmetics,614.05,Cash,2021-01-01,Metropol AVM
I229110,C256999,Male,46,Clothing,2968.91,Credit Card,2021-01-01,Metropol AVM
I258121,C225085,Female,31,Cosmetics,977.47,Credit Card,2021-01-01,Metropol AVM
I120978,C437854,Female,60,Books,242.46,Cash,2021-01-01,Kanyon
I474975,C193810,Female,20,Clothing,2962.38,Credit Card,2021-01-01,Metropol AVM
I860673,C694253,Female,53,Clothing,1145.45,Credit Card,2021-01-01,Metrocity
I151379,C733582,Male,45,Clothing,2086.85,Cash,2021-01-01,Metropol AVM
I309608,C133180,Female,58,Cosmetics,119.8,Cash,2021-01-01,Emaar Square Mall
I656085,C464300,Female,33,Toys,228.69,Cash,2021-01-01,Kanyon
I244413,C832419,Female,18,Clothing,2820.72,Cash,2021-01-01,Kanyon
I322318,C441501,Female,19,Toys,422.33,Cash,2021-01-01,Metropol AVM
I139792,C153501,Female,43,Technology,2181.59,Cash,2021-01-01,Zorlu Center
I423363,C125139,Female,32,Shoes,1113.85,Cash,2021-01-01,Mall of Istanbul
I246238,C993903,Female,53,Shoes,1161.93,Cash,2021-01-01,Emaar Square Mall
I124374,C226785,Male,48,Clothing,1214.84,Credit Card,2021-01-01,Metrocity
