invoice_no,customer_id,gender,age,category,revenue,payment_method,invoice_date,shopping_mall,year,month,day_of_week,day_of_week_num,age_group,year_month
I192911,C642829,Female,66,Food & Beverage,89.02,Credit Card,2021-01-01,Metrocity,2021,1,Friday,4,50+,2021-01
I922215,C333888,Male,43,Souvenir,135.62,Debit Card,2021-01-01,Metropol AVM,2021,1,Friday,4,36-50,2021-01
I256461,C164803,Female,65,Souvenir,52.2,Cash,2021-01-01,Istinye Park,2021,1,Friday,4,50+,2021-01
I983410,C118410,Male,61,Toys,409.06,Credit Card,2021-01-01,Cevahir AVM,2021,1,Friday,4,50+,2021-01
I211587,C366859,Male,25,Toys,869.1,Credit Card,2021-01-01,Zorlu Center,2021,1,Friday,4,18-25,2021-01
I313757,C438201,Female,43,Clothing,2048.6,Credit Card,2021-01-01,Mall of Istanbul,2021,1,Friday,4,36-50,2021-01
I836951,C382440,Male,54,Clothing,2722.02,Cash,2021-01-01,Metrocity,2021,1,Friday,4,50+,2021-01
I159235,C312481,Male,58,Food & Beverage,98.06,Credit Card,2021-01-01,Mall of Istanbul,2021,1,Friday,4,50+,2021-01
I115941,C105769,Male,34,Clothing,2341.35,Cash,2021-01-01,Istinye Park,2021,1,Friday,4,26-35,2021-01
I184824,C305423,Male,58,Shoes,2398.93,Credit Card,2021-01-01,Kanyon,2021,1,Friday,4,50+,2021-01
I182802,C286477,Male,32,Clothing,1439.28,Cash,2021-01-01,Mall of Istanbul,2021,1,Friday,4,26-35,2021-01
I270599,C211804,Female,62,Shoes,1527.99,Cash,2021-01-01,Mall of Istanbul,2021,1,Friday,4,50+,2021-01
I382797,C759842,Male,54,Souvenir,126.35,Cash,2021-01-01,Emaar Square Mall,2021,1,Friday,4,50+,2021-01
I765482,C238585,Male,24,Clothing,1560.26,Credit Card,2021-01-01,Kanyon,2021,1,Friday,4,18-25,2021-01
I313807,C516977,Female,69,Food & Beverage,139.3,Cash,2021-01-01,Istinye Park,2021,1,Friday,4,50+,2021-01
I101088,C824542,Female,28,Toys,983.17,Debit Card,2021-01-01,Kanyon,2021,1,Friday,4,26-35,2021-01
I200375,C255333,Female,52,Toys,312.64,Cash,2021-01-01,Mall of Istanbul,2021,1,Friday,4,50+,2021-01
I301161,C844363,Female,49,Cosmetics,297.51,Debit Card,2021-01-01,Mall of Istanbul,2021,1,Friday,4,36-50,2021-01
I104292,C431059,Female,22,Clothing,2525.12,Debit Card,2021-01-01,Emaar Square Mall,2021,1,Friday,4,18-25,2021-01
I983515,C249060,Male,39,Cosmetics,171.68,Debit Card,2021-01-01,Metropol AVM,2021,1,Friday,4,36-50,2021-01
I811651,C197450,Female,57,Clothing,1232.64,Cash,2021-01-01,Kanyon,2021,1,Friday,4,50+,2021-01
I372925,C338241,Female,35,Toys,707.99,Credit Card,2021-01-01,Forum Istanbul,2021,1,Friday,4,26-35,2021-01
I661328,C316361,Male,67,Clothing,1825.62,Credit Card,2021-01-01,Istinye Park,2021,1,Friday,4,50+,2021-01
I132894,C217270,Female,62,Food & Beverage,148.61,Credit Card,2021-01-01,Viaport Outlet,2021,1,Friday,4,50+,2021-01
I302939,C911736,Female,24,Clothing,1012.04,Cash,2021-01-01,Kanyon,2021,1,Friday,4,18-25,2021-01
I211131,C280473,Male,51,Cosmetics,140.87,Cash,2021-01-01,Istinye Park,2021,1,Friday,4,50+,2021-01
I260437,C163493,Male,41,Cosmetics,240.45,Cash,2021-01-01,Mall of Istanbul,2021,1,Friday,4,36-50,2021-01
I247897,C339057,Male,43,Food & Beverage,94.63,Cash,2021-01-01,Kanyon,2021,1,Friday,4,36-50,2021-01
I373864,C244040,Female,69,Clothing,1536.0,Cash,2021-01-01,Mall of Istanbul,2021,1,Friday,4,50+,2021-01
I350619,C161382,Male,43,Clothing,2008.9,Credit Card,2021-01-01,Zorlu Center,2021,1,Friday,4,36-50,2021-01
I197007,C979723,Male,30,Technology,4338.09,Cash,2021-01-01,Istinye Park,2021,1,Friday,4,26-35,2021-01
I114774,C913265,Male,30,Souvenir,234.66,Cash,2021-01-01,Metropol AVM,2021,1,Friday,4,26-35,2021-01
I966320,C169558,Female,59,Clothing,2394.52,Credit Card,2021-01-01,Mall of Istanbul,2021,1,Friday,4,50+,2021-01
I193645,C263155,Male,56,Clothing,1509.4,Debit Card,2021-01-01,Mall of Istanbul,2021,1,Friday,4,50+,2021-01
I211789,C106566,Male,67,Clothing,2207.06,Cash,2021-01-01,Mall of Istanbul,2021,1,Friday,4,50+,2021-01
I184242,C134228,Female,61,Clothing,2387.6,Cash,2021-01-01,Emaar Square Mall,2021,1,Friday,4,50+,2021-01
I463047,C113897,Male,67,Books,356.27,Credit Card,2021-01-01,Metrocity,2021,1,Friday,4,50+,2021-01
I321359,C169122,Female,21,Shoes,2862.45,Debit Card,2021-01-01,Istinye Park,2021,1,Friday,4,18-25,2021-01
I251008,C336236,Female,23,Toys,389.6,Credit Card,2021-01-01,Istinye Park,2021,1,Friday,4,18-25,2021-01
I154522,C248756,Female,34,Shoes,2368.08,Credit Card,2021-01-01,Mall of Istanbul,2021,1,Friday,4,26-35,2021-01
I262389,C193687,Male,27,Toys,681.96,Credit Card,2021-01-01,Istinye Park,2021,1,Friday,4,26-35,2021-01
I310843,C326151,Male,20,Clothing,1939.24,Credit Card,2021-01-01,Metrocity,2021,1,Friday,4,18-25,2021-01
I199546,C611041,Female,27,Toys,834.59,Debit Card,2021-01-01,Kanyon,2021,1,Friday,4,26-35,2021-01
I938875,C107835,Male,49,Shoes,1890.5,Credit Card,2021-01-01,Mall of Istanbul,2021,1,Friday,4,36-50,2021-01
I291690,C260019,Female,19,Cosmetics,669.95,Cash,2021-01-01,Metrocity,2021,1,Friday,4,18-25,2021-01
I274757,C231715,Male,44,Cosmetics,172.06,Credit Card,2021-01-01,Mall of Istanbul,2021,1,Friday,4,36-50,2021-01
I225263,C654298,Female,57,Technology,951.81,Credit Card,2021-01-01,Kanyon,2021,1,Friday,4,50+,2021-01
I143523,C299146,Female,45,Shoes,2943.81,Credit Card,2021-01-01,Metropol AVM,2021,1,Friday,4,36-50,2021-01
